"gen","yield","env"
"B37/H95",191.35,"IAH4_2018"
"B37/H95",206.87,"IAH4_2018"
"MO44_PHW65_0012/PHT69",166.47,"IAH4_2018"
"MO44_PHW65_0012/PHT69",207.8,"IAH4_2018"
"MO44_PHW65_0015/PHT69",196.5,"IAH4_2018"
"MO44_PHW65_0015/PHT69",200.63,"IAH4_2018"
"MO44_PHW65_0029/PHT69",202.55,"IAH4_2018"
"MO44_PHW65_0029/PHT69",190.55,"IAH4_2018"
"MO44_PHW65_0035/PHT69",164.43,"IAH4_2018"
"MO44_PHW65_0035/PHT69",183.86,"IAH4_2018"
"MO44_PHW65_0037/PHT69",210.15,"IAH4_2018"
"MO44_PHW65_0037/PHT69",217.49,"IAH4_2018"
"MO44_PHW65_0042/PHT69",150.03,"IAH4_2018"
"MO44_PHW65_0042/PHT69",193.58,"IAH4_2018"
"MO44_PHW65_0050/PHT69",211.61,"IAH4_2018"
"MO44_PHW65_0050/PHT69",181.58,"IAH4_2018"
"MO44_PHW65_0056/PHT69",189.48,"IAH4_2018"
"MO44_PHW65_0056/PHT69",246.47,"IAH4_2018"
"MO44_PHW65_0067/PHT69",170.76,"IAH4_2018"
"MO44_PHW65_0067/PHT69",179.56,"IAH4_2018"
"MO44_PHW65_0073/PHT69",249.31,"IAH4_2018"
"MO44_PHW65_0073/PHT69",198.76,"IAH4_2018"
"MO44_PHW65_0074/PHT69",164.25,"IAH4_2018"
"MO44_PHW65_0074/PHT69",196.52,"IAH4_2018"
"MO44_PHW65_0083/PHT69",179.29,"IAH4_2018"
"MO44_PHW65_0083/PHT69",186.07,"IAH4_2018"
"MO44_PHW65_0092/PHT69",199.38,"IAH4_2018"
"MO44_PHW65_0092/PHT69",200.82,"IAH4_2018"
"MO44_PHW65_0093/PHT69",179.78,"IAH4_2018"
"MO44_PHW65_0093/PHT69",190.48,"IAH4_2018"
"MO44_PHW65_0110/PHT69",186.89,"IAH4_2018"
"MO44_PHW65_0110/PHT69",191.98,"IAH4_2018"
"MO44_PHW65_0134/PHT69",203.02,"IAH4_2018"
"MO44_PHW65_0134/PHT69",182.18,"IAH4_2018"
"MO44_PHW65_0139/PHT69",218.67,"IAH4_2018"
"MO44_PHW65_0139/PHT69",200.26,"IAH4_2018"
"MO44_PHW65_0140/PHT69",204.77,"IAH4_2018"
"MO44_PHW65_0140/PHT69",220.22,"IAH4_2018"
"MO44_PHW65_0150/PHT69",215.68,"IAH4_2018"
"MO44_PHW65_0150/PHT69",227.47,"IAH4_2018"
"MO44_PHW65_0165/PHT69",212.34,"IAH4_2018"
"MO44_PHW65_0165/PHT69",185.66,"IAH4_2018"
"MO44_PHW65_0168/PHT69",183.67,"IAH4_2018"
"MO44_PHW65_0168/PHT69",210.31,"IAH4_2018"
"MO44_PHW65_0171/PHT69",167.8,"IAH4_2018"
"MO44_PHW65_0171/PHT69",191.49,"IAH4_2018"
"MO44_PHW65_0184/PHT69",220.04,"IAH4_2018"
"MO44_PHW65_0184/PHT69",215.6,"IAH4_2018"
"MO44_PHW65_0188/PHT69",184.34,"IAH4_2018"
"MO44_PHW65_0188/PHT69",188.79,"IAH4_2018"
"MO44_PHW65_0189/PHT69",170.45,"IAH4_2018"
"MO44_PHW65_0189/PHT69",189.66,"IAH4_2018"
"MO44_PHW65_0200/PHT69",184.63,"IAH4_2018"
"MO44_PHW65_0200/PHT69",200.56,"IAH4_2018"
"MO44_PHW65_0207/PHT69",153.04,"IAH4_2018"
"MO44_PHW65_0207/PHT69",170.8,"IAH4_2018"
"MO44_PHW65_0214/PHT69",155.38,"IAH4_2018"
"MO44_PHW65_0214/PHT69",148.4,"IAH4_2018"
"MO44_PHW65_0220/PHT69",160.27,"IAH4_2018"
"MO44_PHW65_0220/PHT69",185.96,"IAH4_2018"
"MO44_PHW65_0247/PHT69",178.45,"IAH4_2018"
"MO44_PHW65_0247/PHT69",166.58,"IAH4_2018"
"MO44_PHW65_0260/PHT69",222.05,"IAH4_2018"
"MO44_PHW65_0260/PHT69",207.3,"IAH4_2018"
"MO44_PHW65_0302/PHT69",182.32,"IAH4_2018"
"MO44_PHW65_0302/PHT69",206.98,"IAH4_2018"
"MO44_PHW65_0307/PHT69",211.51,"IAH4_2018"
"MO44_PHW65_0307/PHT69",170.12,"IAH4_2018"
"MO44_PHW65_0315/PHT69",142.95,"IAH4_2018"
"MO44_PHW65_0315/PHT69",190.56,"IAH4_2018"
"MO44_PHW65_0319/PHT69",157.07,"IAH4_2018"
"MO44_PHW65_0319/PHT69",171.79,"IAH4_2018"
"MO44_PHW65_0328/PHT69",199.67,"IAH4_2018"
"MO44_PHW65_0328/PHT69",203.04,"IAH4_2018"
"MO44_PHW65_0333/PHT69",196.24,"IAH4_2018"
"MO44_PHW65_0333/PHT69",173.01,"IAH4_2018"
"MO44_PHW65_0336/PHT69",188.91,"IAH4_2018"
"MO44_PHW65_0336/PHT69",190.63,"IAH4_2018"
"MO44_PHW65_0339/PHT69",181.45,"IAH4_2018"
"MO44_PHW65_0339/PHT69",206,"IAH4_2018"
"MO44_PHW65_0363/PHT69",211.48,"IAH4_2018"
"MO44_PHW65_0363/PHT69",210.03,"IAH4_2018"
"MO44_PHW65_0397/PHT69",204.6,"IAH4_2018"
"MO44_PHW65_0397/PHT69",190.3,"IAH4_2018"
"MO44_PHW65_0416/PHT69",202.65,"IAH4_2018"
"MO44_PHW65_0416/PHT69",165.45,"IAH4_2018"
"MO44_PHW65_0446/PHT69",154.78,"IAH4_2018"
"MO44_PHW65_0446/PHT69",194.58,"IAH4_2018"
"MO44_PHW65_0455/PHT69",187.81,"IAH4_2018"
"MO44_PHW65_0455/PHT69",167.26,"IAH4_2018"
